Season,Site,CoreName,CoreNo,flux_NOx,flux_NH3,flux_DIN
Summer,Army,LO,2,0,82.99681604,82.99681604
Summer,Army,LO,3,0,27.84323364,27.84323364
Summer,Army,HO,1,0,-26.24457905,-26.24457905
Summer,Army,HO,2,0,-33.70496701,-33.70496701
Summer,Army,HO,3,0,54.88713998,54.88713998
Summer,Army,LM,1,0,61.0153158,61.0153158
Summer,Army,LM,2,1.492077591,0.932548504,2.424626095
Summer,Army,LM,3,0,-32.37275488,-32.37275488
Summer,Army,MM,1,0,-27.17712755,-27.17712755
Summer,Army,MM,2,0,-25.17880935,-25.17880935
Summer,Army,MM,3,0,-27.17712755,-27.17712755
Summer,Army,HM,1,0,-34.18456338,-34.18456338
Summer,Army,HM,2,0,39.83314286,39.83314286
Summer,Army,HM,3,0,-21.58183658,-21.58183658
Summer,Army,Ref,1,0,-19.58351838,-19.58351838
Summer,Army,Ref,2,0,-28.37611848,-28.37611848
Summer,Army,Ref,3,0,-33.17208217,-33.17208217
Fall,Army,LO,1,-1.65860411,1.532043962,-0.126560148
Fall,Army,LO,2,-3.576989587,4.196468217,0.61947863
Fall,Army,LO,3,-3.576989587,-7.247234014,-10.8242236
Fall,Army,HO,1,-3.576989587,1.665265173,-1.911724414
Fall,Army,HO,2,-3.576989587,-9.44538404,-13.02237363
Fall,Army,HO,3,-3.576989587,-6.954147339,-10.53113693
Fall,Army,LM,1,-3.576989587,-0.066610605,-3.643600193
Fall,Army,LM,2,-3.576989587,9.791759185,6.214769598
Fall,Army,LM,3,-3.576989587,1.265601522,-2.311388065
Fall,Army,MM,1,-3.576989587,-10.43122102,-14.00821061
Fall,Army,MM,2,0.193170753,66.14433252,66.33750327
Fall,Army,MM,3,-3.576989587,-6.661060683,-10.23805027
Fall,Army,HM,1,0.579512278,93.5879025,94.16741477
Fall,Army,HM,2,-2.323377963,17.25214714,14.92876918
Fall,Army,HM,3,-0.686089254,26.71085332,26.02476406
Fall,Army,Ref,1,2.351354417,6.86089249,9.212246907
Fall,Army,Ref,2,-2.399314062,9.924980414,7.525666352
Fall,Army,Ref,3,-0.139882284,6.194786436,6.054904152
Winter,Army,LO,1,3.477073674,10.92413959,14.40121326
Winter,Army,LO,2,3.343852445,154.8030501,158.1469026
Winter,Army,LO,3,1.385500606,4.263078859,5.648579465
Winter,Army,HO,1,0.3197309,-132.288665,-131.9689341
Winter,Army,HO,2,-2.344693373,-100.448795,-102.7934883
Winter,Army,HO,3,-0.759360932,-178.3832049,-179.1425658
Winter,Army,LM,1,0.492918491,-158.5332441,-158.0403256
Winter,Army,LM,2,2.024962444,22.91404875,24.9390112
Winter,Army,LM,3,0.492918491,17.58520013,18.07811862
Winter,Army,MM,1,-0.719394552,-73.00522499,-73.72461954
Winter,Army,MM,2,-0.359697281,13.58856381,13.22886653
Winter,Army,MM,3,-2.464592457,-94.98672521,-97.45131767
Winter,Army,HM,1,-3.104054276,-100.3155738,-103.419628
Winter,Army,HM,2,-1.492077601,53.55492781,52.06285021
Winter,Army,HM,3,-0.306408792,-155.4691562,-155.7755649
Winter,Army,Ref,1,3.477073674,136.1520802,139.6291539
Winter,Army,Ref,2,3.210631234,-87.25989483,-84.0492636
Winter,Army,Ref,3,-0.719394552,-59.68310364,-60.40249819
Winter,Army,LoRef,1,1.105736058,34.90395792,36.00969397
Winter,Army,HiRef,1,1.984996083,121.4977468,123.4827429
Spring,Army,LO,1,-2.211472143,-14.38789106,-16.59936321
Spring,Army,LO,2,-2.211472143,20.78250931,18.57103717
Spring,Army,LO,3,-2.211472143,-3.86341518,-6.074887323
Spring,Army,HO,1,-2.211472143,-20.38284566,-22.59431781
Spring,Army,HO,2,-2.211472143,-16.25298805,-18.46446019
Spring,Army,HO,3,-2.211472143,-28.77578211,-30.98725426
Spring,Army,LM,1,-2.211472143,-9.725148589,-11.93662073
Spring,Army,LM,2,0.479596365,-7.860051599,-7.380455235
Spring,Army,LM,3,-0.879260016,5.462069767,4.582809751
Spring,Army,MM,1,-2.211472143,33.97140945,31.75993731
Spring,Army,MM,2,-2.211472143,17.31875776,15.10728561
Spring,Army,MM,3,-2.211472143,7.060724316,4.849252172
Spring,Army,HM,1,-2.211472143,-1.598654558,-3.810126702
Spring,Army,HM,2,-2.211472143,-21.04895174,-23.26042388
Spring,Army,HM,3,-2.211472143,-2.531203053,-4.742675196
Spring,Army,Ref,1,-2.211472143,-1.065769696,-3.277241839
Spring,Army,Ref,2,-2.211472143,1.731875788,-0.479596355
Spring,Army,Ref,3,-2.211472143,5.328848537,3.117376394
