Season,Site,CoreName,CoreNo,uM_NOx,uM_NH3,uM_PO4,uM_TN,uM_ON
Summer,NOAA,LO,1,2.785714286,9.714285714,0.159032258,26.85714286,14.35714286
Summer,NOAA,LO,2,2.492857143,1.628571429,0.148709677,18.78571429,14.66428571
Summer,NOAA,LO,3,2.3,3.1,0.194516129,18.71428571,13.31428571
Summer,NOAA,HO,1,2.571428571,1.514285714,0.243548387,18.21428571,14.12857143
Summer,NOAA,HO,2,2.435714286,1.535714286,0.23483871,16.07142857,12.1
Summer,NOAA,HO,3,2.157142857,0.517857143,0.19483871,16.35714286,13.68214286
Summer,NOAA,LM,1,2.785714286,7.857142857,0.17,25.5,14.85714286
Summer,NOAA,LM,2,0.842857143,1.714285714,0.561290323,18.14285714,15.58571429
Summer,NOAA,LM,3,1.114285714,5.314285714,0.218387097,21.07142857,14.64285714
Summer,NOAA,MM,1,3.528571429,8,0.141612903,33,21.47142857
Summer,NOAA,MM,2,0.701428571,0.439285714,0.216129032,16.92857143,15.78785714
Summer,NOAA,MM,3,2.685714286,1.414285714,0.127419355,21.35714286,17.25714286
Summer,NOAA,HM,1,3.671428571,2.835714286,0.219354839,25.21428571,18.70714286
Summer,NOAA,HM,2,3.678571429,0.971428571,0.214193548,22.35714286,17.70714286
Summer,NOAA,HM,3,4.071428571,3.921428571,0.228709677,28.78571429,20.79285714
Summer,NOAA,Ref,1,2.685714286,3.135714286,0.137096774,27.78571429,21.96428571
Summer,NOAA,Ref,2,3.164285714,1.292857143,0.137096774,24.35714286,19.9
Summer,NOAA,Ref,3,3.364285714,2.921428571,0.231290323,24,17.71428571
Fall,NOAA,In1,1,0,1.271428571,0.126129032,10.35714286,9.085714286
Fall,NOAA,In2,1,0.317857143,1.571428571,0.168064516,34.14285714,32.25357143
Fall,NOAA,LO,1,0,0.721428571,0.150645161,9.857142857,9.135714286
Fall,NOAA,LO,2,0,0.342857143,0.223548387,11.35714286,11.01428571
Fall,NOAA,LO,3,0,1.071428571,0.506451613,11.42857143,10.35714286
Fall,NOAA,HO,1,0,0.728571429,0.246774194,10.42857143,9.7
Fall,NOAA,HO,2,0,0.341428571,0.301612903,11.07142857,10.73
Fall,NOAA,HO,3,0,0.353571429,0.223548387,10.57142857,10.21785714
Fall,NOAA,LM,1,0,4.95,0.148064516,15.21428571,10.26428571
Fall,NOAA,LM,2,0,3.464285714,0.096451613,13.14285714,9.678571429
Fall,NOAA,LM,3,0,1.635714286,0.182903226,11.78571429,10.15
Fall,NOAA,MM,1,0,1.007142857,0.196129032,14.21428571,13.20714286
Fall,NOAA,MM,2,0,0.592857143,0.166129032,11.14285714,10.55
Fall,NOAA,MM,3,0,0.444285714,0.181935484,14.42857143,13.98428571
Fall,NOAA,HM,1,0,0.39,0.29,11.64285714,11.25285714
Fall,NOAA,HM,2,0,0.397857143,0.222258065,11.85714286,11.45928571
Fall,NOAA,HM,3,0,0.54,0.496774194,14.78571429,14.24571429
Fall,NOAA,Ref,1,0,0.964285714,0.193225806,11,10.03571429
Fall,NOAA,Ref,2,0,0.390714286,0.12,11.14285714,10.75214286
Fall,NOAA,Ref,3,0,0.385,0.200645161,10,9.615
Winter,NOAA,In1,1,0.017428571,1.721428571,0.272903226,8.714285714,6.975428571
Winter,NOAA,In2,1,0.126428571,10.28571429,0.313548387,20.14285714,9.730714286
Winter,NOAA,LO,1,0.039357143,6.785714286,0.227096774,15.07142857,8.246357143
Winter,NOAA,LO,2,0.032714286,1.371428571,0.210967742,8.285714286,6.881571429
Winter,NOAA,LO,3,0.044142857,8.785714286,0.29516129,19.57142857,10.74157143
