"Site","Season","CoreName","CoreNo","flux_Nox","flux_NH3","Age","Habitat"
"Army","Winter","Ref",1,3.477073674,136.1520802,20,"Ref"
"Army","Winter","Ref",2,3.210631234,-87.25989483,20,"Ref"
"Army","Winter","Ref",3,-0.719394552,-59.68310364,20,"Ref"
"Army","Spring","LO",1,-2.310721946,-14.38789106,20,"oyster"
"Army","Spring","LO",2,-2.310721946,20.78250931,20,"oyster"
"Army","Spring","LO",3,-2.310721946,-3.86341518,20,"oyster"
"Army","Spring","HO",1,-2.310721946,-20.38284566,20,"oyster"
"Army","Spring","HO",2,-2.310721946,-16.25298805,20,"oyster"
"Army","Spring","HO",3,-2.310721946,-28.77578211,20,"oyster"
"Army","Spring","LM",1,-1.416807611,-9.725148589,20,"marsh"
"Army","Spring","LM",2,0.380346562,-7.860051599,20,"marsh"
"Army","Spring","LM",3,-0.978509819,5.462069767,20,"marsh"
"Army","Spring","MM",1,-2.310721946,33.97140945,20,"marsh"
"Army","Spring","MM",2,-2.310721946,17.31875776,20,"marsh"
"Army","Spring","MM",3,-2.310721946,7.060724316,20,"marsh"
"Army","Spring","HM",1,-2.310721946,-1.598654558,20,"marsh"
"Army","Spring","HM",2,-2.310721946,-21.04895174,20,"marsh"
"Army","Spring","HM",3,-2.310721946,-2.531203053,20,"marsh"
"Army","Spring","Ref",1,-2.310721946,-1.065769696,20,"Ref"
"Army","Spring","Ref",2,-2.310721946,1.731875788,20,"Ref"
"Army","Spring","Ref",3,-2.310721946,5.328848537,20,"Ref"
