Site,Season,CoreName,CoreNo,flux_Nox,flux_NH3
Army,Winter,HO,3,-0.759360932,-178.3832049
Army,Winter,LM,1,0.492918491,-158.5332441
Army,Winter,LM,2,2.024962444,22.91404875
Army,Winter,LM,3,0.492918491,17.58520013
Army,Winter,MM,1,-0.719394552,-73.00522499
Army,Winter,MM,2,-0.359697281,13.58856381
Army,Winter,MM,3,-2.464592457,-94.98672521
Army,Winter,HM,1,-3.104054276,-100.3155738
Army,Winter,HM,2,-1.492077601,53.55492781
Army,Winter,HM,3,-0.306408792,-155.4691562
Army,Winter,Ref,1,3.477073674,136.1520802
Army,Winter,Ref,2,3.210631234,-87.25989483
Army,Winter,Ref,3,-0.719394552,-59.68310364
Army,Spring,LO,1,-2.310721946,-14.38789106
Army,Spring,LO,2,-2.310721946,20.78250931
Army,Spring,LO,3,-2.310721946,-3.86341518
Army,Spring,HO,1,-2.310721946,-20.38284566
Army,Spring,HO,2,-2.310721946,-16.25298805
Army,Spring,HO,3,-2.310721946,-28.77578211
Army,Spring,LM,1,-1.416807611,-9.725148589
Army,Spring,LM,2,0.380346562,-7.860051599
Army,Spring,LM,3,-0.978509819,5.462069767
Army,Spring,MM,1,-2.310721946,33.97140945
Army,Spring,MM,2,-2.310721946,17.31875776
Army,Spring,MM,3,-2.310721946,7.060724316
Army,Spring,HM,1,-2.310721946,-1.598654558
Army,Spring,HM,2,-2.310721946,-21.04895174
Army,Spring,HM,3,-2.310721946,-2.531203053
Army,Spring,Ref,1,-2.310721946,-1.065769696
Army,Spring,Ref,2,-2.310721946,1.731875788
Army,Spring,Ref,3,-2.310721946,5.328848537
