Season,Site,CoreName,CoreNo,TimePt,conc_O2
Fall,IMS,LO,1,3,5.264821683
Fall,IMS,LO,2,3,3.056259932
Fall,IMS,LO,3,3,4.732035229
Fall,IMS,HO,1,3,4.067585028
Fall,IMS,HO,2,3,4.583799824
Fall,IMS,HO,3,3,4.454771529
Fall,IMS,MM,1,3,4.470719859
Fall,IMS,MM,2,3,5.256668937
Fall,IMS,MM,3,3,4.203290653
Fall,IMS,Ref,1,3,5.103207391
Fall,IMS,Ref,2,3,4.332840911
Fall,IMS,Ref,3,3,4.373768854
Fall,IMS,LoRef,1,3,4.515404231
Fall,IMS,HiRef,1,3,5.180395112
Fall,Carrot,LO,1,1,6.202077687
Fall,Carrot,LO,2,1,6.223079722
Fall,Carrot,LO,3,1,6.783873621
Fall,Carrot,HO,1,1,6.78756704
Fall,Carrot,HO,2,1,6.73460492
Fall,Carrot,HO,3,1,6.615697419
Fall,Carrot,LM,1,1,6.773731318
Fall,Carrot,LM,2,1,6.757454352
Fall,Carrot,LM,3,1,6.841125486
Fall,Carrot,MM,1,1,6.627935786
Fall,Carrot,MM,2,1,6.381060902
Fall,Carrot,MM,3,1,7.008441565
Fall,Carrot,HM,1,1,6.948606379
Fall,Carrot,HM,2,1,6.929840968
Fall,Carrot,HM,3,1,6.530174109
Fall,Carrot,Ref,1,1,6.889460582
Fall,Carrot,Ref,2,1,6.741870869
Fall,Carrot,Ref,3,1,6.854144979
Fall,Carrot,LoRef,1,1,6.68735252
Fall,Carrot,HiRef,1,1,6.578047578
Fall,Carrot,LO,1,2,6.546791241
Fall,Carrot,LO,2,2,6.517409369
Fall,Carrot,LO,3,2,6.893002781
Fall,Carrot,HO,1,2,6.721880373
Fall,Carrot,HO,2,2,6.859126666
Fall,Carrot,HO,3,2,6.822992937
Fall,Carrot,LM,1,2,6.946704194
Fall,Carrot,LM,2,2,6.952336528
Fall,Carrot,LM,3,2,6.939764318
Fall,Carrot,MM,1,2,6.657097564
Fall,Carrot,MM,2,2,6.422610726
Fall,Carrot,MM,3,2,7.047664487
Fall,Carrot,HM,1,2,6.98736229
Fall,Carrot,HM,2,2,6.986501237
Fall,Carrot,HM,3,2,6.74054569
Fall,Carrot,Ref,1,2,7.004057445
Fall,Carrot,Ref,2,2,6.858151866
Fall,Carrot,Ref,3,2,7.007654459
Fall,Carrot,LoRef,1,2,6.964273072
Fall,Carrot,HiRef,1,2,6.740962802
Fall,Carrot,LO,1,3,6.543203101
Fall,Carrot,LO,2,3,6.559926883
Fall,Carrot,LO,3,3,6.914622061
Fall,Carrot,HO,1,3,6.75719495
Fall,Carrot,HO,2,3,6.864178907
Fall,Carrot,HO,3,3,6.84362789
Fall,Carrot,LM,1,3,6.974605083
Fall,Carrot,LM,2,3,6.945883776
Fall,Carrot,LM,3,3,6.936402888
Fall,Carrot,MM,1,3,6.67929947
Fall,Carrot,MM,2,3,6.460271962
Fall,Carrot,MM,3,3,7.069277262
Fall,Carrot,HM,1,3,7.023175823
Fall,Carrot,HM,2,3,7.005250466
Fall,Carrot,HM,3,3,6.785676457
Fall,Carrot,Ref,1,3,7.022752551
Fall,Carrot,Ref,2,3,6.905895152
Fall,Carrot,Ref,3,3,7.024769378
Fall,Carrot,LoRef,1,3,6.948022785
Fall,Carrot,HiRef,1,3,6.736224034
Fall,NOAA,LO,1,1,3.81435328
Fall,NOAA,LO,2,1,2.509446576
Fall,NOAA,LO,3,1,4.205616415
Fall,NOAA,HO,1,1,2.350479302
Fall,NOAA,HO,2,1,3.820902875
Fall,NOAA,HO,3,1,3.232946416
Fall,NOAA,LM,1,1,2.767643151
Fall,NOAA,LM,2,1,3.792476262
Fall,NOAA,LM,3,1,3.965932751
Fall,NOAA,MM,1,1,4.017889445
Fall,NOAA,MM,2,1,3.451945361
Fall,NOAA,MM,3,1,3.30721609
Fall,NOAA,HM,1,1,3.698483644
Fall,NOAA,HM,2,1,3.496411874
Fall,NOAA,HM,3,1,2.279121223
Fall,NOAA,Ref,1,1,2.316951861
Fall,NOAA,Ref,2,1,3.90901507
Fall,NOAA,Ref,3,1,3.07964873
Fall,NOAA,LoRef,1,1,4.308011249
Fall,NOAA,HiRef,1,1,4.242987924
Fall,NOAA,LO,1,2,4.875369253
Fall,NOAA,LO,2,2,4.153206113
Fall,NOAA,LO,3,2,4.92337067
Fall,NOAA,HO,1,2,4.51658102
Fall,NOAA,HO,2,2,4.989007846
Fall,NOAA,HO,3,2,4.557031455
Fall,NOAA,LM,1,2,3.881441821
Fall,NOAA,LM,2,2,5.024419935
Fall,NOAA,LM,3,2,5.057479152
Fall,NOAA,MM,1,2,4.802181493
Fall,NOAA,MM,2,2,4.145068149
Fall,NOAA,MM,3,2,4.179914419
Fall,NOAA,HM,1,2,4.905153265
Fall,NOAA,HM,2,2,4.192310888
Fall,NOAA,HM,3,2,3.576612838
Fall,NOAA,Ref,1,2,4.755325897
Fall,NOAA,Ref,2,2,4.561157529
Fall,NOAA,Ref,3,2,3.709003827
Fall,NOAA,LoRef,1,2,5.249074549
Fall,NOAA,HiRef,1,2,5.816507322
Fall,NOAA,LO,1,3,4.97349553
Fall,NOAA,LO,2,3,4.249359226
Fall,NOAA,LO,3,3,5.384066222
Fall,NOAA,HO,1,3,5.154549216
Fall,NOAA,HO,2,3,5.372698195
Fall,NOAA,HO,3,3,4.858548822
Fall,NOAA,LM,1,3,4.116223465
Fall,NOAA,LM,2,3,5.223527107
Fall,NOAA,LM,3,3,4.861908887
Fall,NOAA,MM,1,3,4.767999561
Fall,NOAA,MM,2,3,4.053753866
Fall,NOAA,MM,3,3,4.476829696
Fall,NOAA,HM,1,3,5.108151235
Fall,NOAA,HM,2,3,4.261634705
Fall,NOAA,HM,3,3,3.986817772
Fall,NOAA,Ref,1,3,4.755894483
Fall,NOAA,Ref,2,3,4.591256899
Fall,NOAA,Ref,3,3,3.85182635
Fall,NOAA,LoRef,1,3,5.401317802
Fall,NOAA,HiRef,1,3,5.926262284
Fall,NOAA,LO,1,4,4.591989552
Fall,NOAA,LO,2,4,3.218197135
Fall,NOAA,LO,3,4,4.961507445
Fall,NOAA,HO,1,4,4.528610184
Fall,NOAA,HO,2,4,4.40055704
Fall,NOAA,HO,3,4,4.30776632
Fall,NOAA,LM,1,4,3.437987711
Fall,NOAA,LM,2,4,4.542593941
Fall,NOAA,LM,3,4,4.154671505
Fall,NOAA,MM,1,4,4.14357623
Fall,NOAA,MM,2,4,3.350153756
Fall,NOAA,MM,3,4,3.348079775
Fall,NOAA,HM,1,4,4.645298484
Fall,NOAA,HM,2,4,3.344119753
Fall,NOAA,HM,3,4,1.577843574
Fall,NOAA,Ref,1,4,3.616482367
Fall,NOAA,Ref,2,4,3.618796163
Fall,NOAA,Ref,3,4,2.748973526
Fall,NOAA,LoRef,1,4,5.095283694
Fall,NOAA,HiRef,1,4,5.328219667
Fall,NOAA,LO,1,5,4.569397177
Fall,NOAA,LO,2,5,2.741910608
Fall,NOAA,LO,3,5,4.842741635
Fall,NOAA,HO,1,5,4.566342562
Fall,NOAA,HO,2,5,4.872319607
Fall,NOAA,HO,3,5,4.062263932
Fall,NOAA,LM,1,5,3.506187112
Fall,NOAA,LM,2,5,4.983452214
Fall,NOAA,LM,3,5,4.074543477
Fall,NOAA,MM,1,5,4.306567282
Fall,NOAA,MM,2,5,3.410705127
Fall,NOAA,MM,3,5,3.649990819
Fall,NOAA,HM,1,5,4.626923246
Fall,NOAA,HM,2,5,2.989094614
Fall,NOAA,HM,3,5,1.72232303
Fall,NOAA,Ref,1,5,4.304496831
Fall,NOAA,Ref,2,5,4.273056718
Fall,NOAA,Ref,3,5,3.397793946
Fall,NOAA,LoRef,1,5,5.117329881
Fall,NOAA,HiRef,1,5,5.639521227
Fall,Army,LO,1,1,6.562900657
Fall,Army,LO,2,1,5.726815205
Fall,Army,LO,3,1,6.013509234
