Season,Site,CoreName,CoreNo,TimePt,N2Flux
Winter,IMS,Ref,3,3,1.69523315
Winter,IMS,LoRef,1,3,9.085717143
Winter,IMS,HiRef,1,3,31.34886175
Winter,IMS,LO,1,4,8.709214971
Winter,IMS,LO,2,4,26.38758917
Winter,IMS,LO,3,4,16.2222216
Winter,IMS,HO,1,4,-2.19475855
Winter,IMS,HO,2,4,20.08292884
Winter,IMS,HO,3,4,-3.282394857
Winter,IMS,MM,1,4,99.86766171
Winter,IMS,MM,2,4,66.99481983
Winter,IMS,MM,3,4,45.04052034
Winter,IMS,Ref,1,4,10.01487599
Winter,IMS,Ref,2,4,28.26728787
Winter,IMS,Ref,3,4,34.71668074
Winter,IMS,LoRef,1,4,25.1131181
Winter,IMS,HiRef,1,4,61.24996808
Winter,IMS,LO,1,5,17.15375613
Winter,IMS,LO,2,5,44.72625836
Winter,IMS,LO,3,5,32.55278927
Winter,IMS,HO,1,5,25.62895437
Winter,IMS,HO,2,5,8.47776711
Winter,IMS,HO,3,5,-10.53277627
Winter,IMS,MM,1,5,38.26203694
Winter,IMS,MM,2,5,8.384913915
Winter,IMS,MM,3,5,-3.89945638
Winter,IMS,Ref,1,5,37.13290691
Winter,IMS,Ref,2,5,30.9739348
Winter,IMS,Ref,3,5,24.71922902
Winter,IMS,LoRef,1,5,42.3534134
Winter,IMS,HiRef,1,5,72.42801803
Winter,Carrot,LO,1,1,38.27500842
Winter,Carrot,LO,2,1,28.89656478
Winter,Carrot,LO,3,1,67.3248766
Winter,Carrot,HO,1,1,39.3935608
Winter,Carrot,HO,2,1,
Winter,Carrot,HO,3,1,117.3768041
Winter,Carrot,LM,1,1,4.749340986
Winter,Carrot,LM,2,1,25.58718456
Winter,Carrot,LM,3,1,28.12434409
Winter,Carrot,MM,1,1,11.80570376
Winter,Carrot,MM,2,1,46.84326463
Winter,Carrot,MM,3,1,73.64488293
Winter,Carrot,HM,1,1,69.36464102
Winter,Carrot,HM,2,1,56.36794302
Winter,Carrot,HM,3,1,57.56041234
Winter,Carrot,Ref,1,1,-4.087577265
Winter,Carrot,Ref,2,1,-30.314561
Winter,Carrot,Ref,3,1,1.80187875
Winter,Carrot,LoRef,1,1,19.42526013
Winter,Carrot,HiRef,1,1,47.71384122
Winter,Carrot,LO,1,2,29.14094488
Winter,Carrot,LO,2,2,41.71220943
Winter,Carrot,LO,3,2,58.11178003
Winter,Carrot,HO,1,2,26.62258085
Winter,Carrot,HO,2,2,
Winter,Carrot,HO,3,2,65.77386873
Winter,Carrot,LM,1,2,-8.452271727
Winter,Carrot,LM,2,2,4.211347677
Winter,Carrot,LM,3,2,21.46856185
Winter,Carrot,MM,1,2,18.97235473
Winter,Carrot,MM,2,2,9.952443727
Winter,Carrot,MM,3,2,30.34523094
Winter,Carrot,HM,1,2,7.298023526
Winter,Carrot,HM,2,2,48.42503451
Winter,Carrot,HM,3,2,49.0001203
Winter,Carrot,Ref,1,2,16.48720439
Winter,Carrot,Ref,2,2,8.662131687
Winter,Carrot,Ref,3,2,10.94271474
Winter,Carrot,LoRef,1,2,25.28111876
Winter,Carrot,HiRef,1,2,57.512708
Winter,Carrot,LO,1,3,29.18319283
Winter,Carrot,LO,2,3,41.48878429
Winter,Carrot,LO,3,3,43.4081696
Winter,Carrot,HO,1,3,43.49661825
Winter,Carrot,HO,2,3,
Winter,Carrot,HO,3,3,78.35296291
Winter,Carrot,LM,1,3,19.21076576
Winter,Carrot,LM,2,3,24.152832
Winter,Carrot,LM,3,3,39.68906174
Winter,Carrot,MM,1,3,10.51785809
Winter,Carrot,MM,2,3,-6.173740524
Winter,Carrot,MM,3,3,20.8447864
Winter,Carrot,HM,1,3,-15.27115623
Winter,Carrot,HM,2,3,12.28726333
Winter,Carrot,HM,3,3,12.90653794
Winter,Carrot,Ref,1,3,-11.10310056
Winter,Carrot,Ref,2,3,-24.01651703
Winter,Carrot,Ref,3,3,-5.346928208
Winter,Carrot,LoRef,1,3,9.208127909
Winter,Carrot,HiRef,1,3,12.37521551
Winter,Carrot,LO,1,4,52.11184064
Winter,Carrot,LO,2,4,44.71459554
Winter,Carrot,LO,3,4,50.62478404
Winter,Carrot,HO,1,4,28.93049781
Winter,Carrot,HO,2,4,
Winter,Carrot,HO,3,4,61.64151811
Winter,Carrot,LM,1,4,15.67827186
Winter,Carrot,LM,2,4,21.16908532
Winter,Carrot,LM,3,4,10.69358772
Winter,Carrot,MM,1,4,1.201357197
Winter,Carrot,MM,2,4,-8.591415315
Winter,Carrot,MM,3,4,24.34087088
Winter,Carrot,HM,1,4,9.983475355
Winter,Carrot,HM,2,4,25.66641657
Winter,Carrot,HM,3,4,31.01338718
Winter,Carrot,Ref,1,4,-25.32515058
Winter,Carrot,Ref,2,4,-33.20087045
